OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
328739226,466,Windham Ln & Amherst Ave,32066,39.032029,-77.04735,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,5,395900.28028089,151562.82832343,,
328739227,467,North Shore Dr & Village Rd,32223,38.970412,-77.340787,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,8,1,370468.0661928,144776.77171083,,
328739228,468,Town Center Pkwy & Sunset Hills Rd,32224,38.955171,-77.363094,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,1,10,368528.26577752,143092.3443935,,
328739229,469,3rd & Underwood St NW,31413,38.968834,-77.016258,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,8,11,398591.07910767,144546.60165408,,DC
328739230,470,18th & Monroe St NE,31521,38.93293,-76.979517,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,17,1,401775.95435655,140561.00567055,,DC
328739231,471,7th & E St SW,31294,38.88345,-77.021741,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,13,398113.66411757,135068.34613835,,DC
328739232,472,Shady Grove Metro East,32067,39.121327,-77.164969,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,15,385734.35932116,161487.81062324,,
328739233,473,Potomac & M St NW,31295,38.905368,-77.065149,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,17,394349.14970107,137503.20919441,,DC
328739234,474,Columbia & Ontario Rd NW,31296,38.924088,-77.040787,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,13,10,396463.17281514,139580.05853158,,DC
328739235,475,Washington-Liberty High School / N Stafford St & Generals Way,31920,38.888282,-77.111066,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,10,390364.12569347,135610.37264375,,
328739236,476,Westover Library / Washington Blvd & N McKinley Rd,31921,38.886048,-77.142317,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,4,387652.46388519,135366.14435057,,
328739237,477,Columbia Pike & S Taylor St,31923,38.858524,-77.103728,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,12,390997.00279743,132306.26461119,,
328739238,478,Columbus Ave & Tribeca St,32068,39.126,-77.1673,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,9,385533.7377928,162006.94178854,,
328739239,479,Columbus Ave & Gramercy Blvd,32069,39.12333,-77.16486,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,5,385744.18661456,161710.15281948,,
328739240,480,Reston Pkwy & Spectrum Dr,32225,38.964208,-77.35428,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,11,369296.1222373,144092.52580133,,
328739241,481,Key West Ave & Great Seneca Hwy,32070,39.105642,-77.20386,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,7,382367.38936046,159753.36941456,,
328739242,482,Virginia Ave & 25th St NW,31297,38.8995,-77.054155,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,15,3,395302.35335497,136851.190868,,DC
328739243,483,15th & M St NW,31298,38.905424,-77.034674,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,12,7,396992.47200484,137507.98042771,,DC
328739244,484,11th & Girard St NW,31126,38.925636,-77.027112,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,18,1,397649.0455579,139751.45871596,,DC
328739245,485,Connecticut Ave & R St NW,31299,38.912644,-77.04564,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,10,396041.71190715,138309.87791719,,DC
328739246,486,Wilson Blvd & N Troy St,31924,38.892556,-77.082089,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,9,392878.54077938,136082.16026187,,
328739247,487,American University East Campus,31320,38.936298,-77.087128,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,0,19,392446.02744342,140938.28866237,,DC
328739248,488,15th St & Constitution Ave NW,31321,38.892244,-77.033234,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,7,12,397116.84102069,136044.84872031,,DC
328739249,490,23rd & M St NW,31128,38.905303,-77.050264,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,19,0,395640.23073239,137495.17752963,,DC
328739250,491,Corporate Blvd & Omega Dr,32071,39.106971,-77.192645,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,12,383337.72634014,159898.79852701,,
328739251,492,Key West Ave & Diamondback Dr,32072,39.106152,-77.202354,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,3,382497.7741937,159809.69600414,,
